rpt_rec_num,"Provider CCN","Hospital Name","Street Address",City,"State Code","Zip Code",County,"Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Total Days Title V + Total for all Subproviders","Total Days Title XVIII + Total for all Subproviders","Total Days Title XIX + Total for all Subproviders","Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders","Number of Beds + Total for all Subproviders","Total Bed Days Available + Total for all Subproviders","Total Discharges Title V + Total for all Subproviders","Total Discharges Title XVIII + Total for all Subproviders","Total Discharges Title XIX + Total for all Subproviders","Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable",Inventory,"Prepaid Expenses","Other Current Assets","Total Current Assets",Land,"Land Improvements",Buildings,"Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets",Investments,"Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG amounts before October 1","DRG amounts after October 1","Outlier payments for discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Gross Revenue","Less Contractual Allowance and discounts on patients' accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone SCHIP","Stand-Alone SCHIP Charges"
649071,40018,"BAPTIST HEALTH MEDICAL CENTER - VB","EAST MAIN & SOUTH 20TH STREETS","VAN BUREN",AR,72956,"",22900,U,STH,1,2,11/01/2018,12/31/2018,13.62,"","",134,"",481,39,2379,"",49,"",168,"",134,"",481,39,2379,"",49,"",168,"",125,"",444,31,1891,"",49,"",168,"",159262,21057,21057,952278,1649629,132800,2669348,6008644,21299172,27307816,204435,"",952278,3000,"","",286659,"","",1997257,"",747024,896,196285,3228121,11000,"",3144543,"","",4148355,"","",7168957,"","","",10397078,713282,"","","","",3539400,4252682,"","","",5991294,5991294,10243976,153102,153102,10397078,"","",233214,"",6997,0.12,"","",6289807,21018010,27307817,24382307,2925510,2776630,148880,4222,153102,"",153102,0.09775,"","","",""
649407,100044,"MARTIN MEDICAL CENTER","200 HOSPITAL AVENUE",STUART,FL,34995,MARTIN,38940,U,STH,1,2,10/01/2018,12/31/2018,3191.75,"","",12524,1056,31535,521,47932,"",2741,266,26952,"",12524,1056,31535,521,47932,"",2741,266,26952,"",10945,761,26412,447,41124,"",2741,266,26952,5334134,11046666,8401251,11771030,53214888,70396564,10713115,110910856,385563561,349176942,734740503,10735835,"",51795877,670976,70251,"",-1276366,167232819,"",155062552,-95704766,10790068,4706818,41597276,284651846,23061785,22419756,329022148,"",78907744,356261841,"","",376180097,"",12262992,12262992,673094935,12400728,39698288,9704,7845000,"",1368455,61322175,"",293943607,"",59049934,352993541,414315716,258779219,258779219,673094935,"","",22718693,"",256153,0.0451,"","",385563560,362804137,748367697,620173940,128193757,123611452,4582305,-15211355,-10629050,"",-10629050,0.150952,4543107,52842459,61367,839609
650373,450090,"NORTH TEXAS MEDICAL CENTER","1900 HOSPITAL BOULEVARD",GAINSVILLE,TX,76240-,COOKE,99945,R,STH,1,11,10/01/2018,11/30/2018,168,"","",368,18,707,36,2074,"",86,2,175,"",1857,18,5205,36,2074,"",86,2,175,"",263,7,534,31,1708,"",86,2,175,112588,1824715,593966,594602,2505569,4270428,287577,5386933,6044770,14374988,20419758,373538,14900,2505569,167077,1480,"",7554343,"","",64704590,-60372810,420942,744224,1175736,20340422,1196029,256205,31196682,"",10242656,11003545,3770,3220211,22525387,"",1993364,1993364,44859173,754648,1194543,"",280960,"",390623,2620774,"","","",41380476,41380476,44001250,857923,857923,44859173,"","",714206,"","","","","",6638309,14729903,21368212,15333618,6034594,6775997,-741403,5322236,4580833,"",4580833,0.26381,841405,2189792,10063,26507
650435,40055,"BAPTIST HEALTH MEDICAL CENTER - FS","1001 TOWSON AVENUE","FORT SMITH",AR,72901,"",22900,U,STH,1,2,11/01/2018,12/31/2018,155.1,4.26,"",4020,"",9738,320,19520,"",840,"",2077,"",4316,"",10556,343,20923,"",872,"",2170,"",3652,"",9015,289,17629,"",840,"",2077,"",3304300,524684,524684,10427886,23977131,1256295,35451168,109472743,136078266,245551009,2331187,"",10427886,5200,"","",2773104,"","",23691063,"",7068867,303366,1411644,35248044,5450000,1138588,105434714,"","",12801220,"","",128156659,"","","",163404703,9158269,211906,"","","","",9370175,"","",154918411,"",154918411,164288586,-883883,-883883,163404703,"","",6180460,"",193603,0.1253,"",103986,110132941,135418068,245551009,209690308,35860701,37450285,-1589584,705701,-883883,"",-883883,0.144374,"","","",""
650479,201302,LINCOLNHEALTH,"6 ST. ANDREWS LANE","BOOTHBAY HARBOR",ME,04538-,LINCOLN,99920,R,CAH,1,2,10/01/2018,12/31/2018,362.19,"","",820,126,1793,25,9125,"",187,33,382,"",4097,2725,19312,67,24455,"",187,33,382,"",690,80,1377,21,7665,"",187,33,382,202374,1047204,851792,851792,6124146,15117362,928865,18206588,9440440,21196720,30637160,"","","","","","",4425475,"",591564,6985850,"",3294397,"","",23717347,2480754,5779808,62333238,630254,8436081,22873561,"","",46762120,12633553,3335454,15969007,86448474,1617780,2630412,"","",17032,1971307,17186883,"",9448243,"",3303566,12751809,29938692,56509782,56509782,86448474,"","","","","","","","",10567431,23595634,34163065,12768843,21394222,21973982,-579760,61805,-517955,"",-517955,0.594265,1692896,2070344,"",""
650482,201312,"WALDO COUNTY GENERAL HOSPITAL","118 NORTHPORT AVENUE",BELFAST,ME,04915,WALDO,99920,R,CAH,1,2,10/01/2018,12/31/2018,574.95,"","",655,107,1499,25,2300,"",132,38,312,"",1290,107,3794,25,2300,"",132,38,312,"",407,82,915,21,1932,"",132,38,312,318681,1457938,1169545,1169545,11464898,13269718,1273069,20562710,6594055,28862886,35456941,"","","","","","",6779946,59170587,"",32302907,-23462744,1395246,144772,232801,84234649,1014557,2670014,47183275,"",11141699,29373947,"","",37029893,28559373,10504515,39063888,160328430,2473824,5308848,"",496550,42083,-1152957,10556357,4139083,4342116,2530738,"",11011937,21568294,138760136,138760136,160328430,"","","","","","","","",7811551,32537398,40348949,15180054,25168895,24734616,434279,-2656807,-2222528,"",-2222528,0.579935,3056258,5419568,"",""
650826,201315,"STEPHENS MEMORIAL HOSPITAL - CAH","181 MAIN STREET",NORWAY,ME,04268,OXFORD,99920,R,CAH,1,2,10/01/2018,12/31/2018,345,0.29,"",482,180,1129,25,2300,"",140,65,343,"",3636,180,14458,25,2300,"",140,65,343,"",395,118,896,21,1932,"",140,65,343,145190,1864584,1315237,1315237,7964494,10916386,757142,17465580,5969359,23288733,29258092,"","","","","","",23551911,"","",5004222,"",1701644,"",4971280,35229057,1230517,3369568,14207874,10445025,4785584,27199577,"","",22432169,"",6428094,6428094,64089320,2800983,3147046,"","","",10148761,16096790,"",4539173,"",3499616,8038789,24135579,39953741,39953741,64089320,"","","","","","","","",7049894,26141179,33191073,14628240,18562833,18595097,-32264,263065,230801,"",230801,0.596949,2745279,3679143,"",""
651192,100105,"INDIAN RIVER MEMORIAL HOSPITA.L","1000 36TH STREET","VERO BEACH",FL,32960,"",42680,U,STH,1,2,10/01/2018,12/31/2018,1424.44,"","",5901,557,13293,310,28520,"",1504,238,3309,"",6389,590,14631,332,30544,"",1574,248,3578,"",5365,432,11633,286,26312,"",1504,238,3309,1200795,2628266,1885417,5358823,34118367,45091713,3131429,62668801,125543668,142461970,268005638,4853332,585818,34228663,1456326,37260,"",23200433,"","",105398685,-67840319,5350181,2958931,17793831,90160342,1631582,6461725,128609781,"",35551189,152118547,"","",98066131,3680336,9469534,13149870,201376343,12555418,9852057,"","","",11614072,34021547,"","","",23467506,23467506,57489053,143887290,143887290,201376343,"","",13650066,"",128993,0.0378,"","",131956801,167851870,299808671,230844062,68964609,79210080,-10245471,4401601,-5843870,"",-5843870,0.233834,2326773,22572410,"",""
651366,670126,"CROCKETT MEDICAL CENTER","1100 EAST LOOP 304",CROCKETT,TX,75835,HOUSTON,99945,U,STH,1,4,11/01/2018,01/31/2019,12.75,"","",27,"",137,25,2300,"",14,"",86,"",39,"",1310,25,2300,"",14,"",86,"",27,"",137,25,2300,"",14,"",86,"",3100562,704221,704221,967867,2286782,50543,2460359,934460,9898077,10832537,99503,5473,967867,"","","",-590,"","",8911316,-7307143,"","","",1596330,"","","","","",315656,"","",264581,"","","",1860911,276986,-1240,-37042,1743573,"","",1982277,"","","",285981,285981,2268258,-407347,-407347,1860911,"",67473,"","","","","","",935435,11263703,12199138,9726776,2472362,3254649,-782287,374940,-407347,"",-407347,0.227127,"","","",""
652728,450746,"KNOX COUNTY HOSPITAL","712 SOUTH FIFTH","KNOX CITY",TX,79529,"",99945,R,STH,1,9,10/01/2018,02/28/2019,40.73,"","",112,"",168,28,4200,"",28,"",40,"",3162,"",7900,28,4200,"",28,"",40,"",82,"",115,28,4200,"",28,"",40,13864,62594,27476,27476,2287991,6435536,109075,6679068,347221,35737482,36084703,71264,69803,2287991,11000,"","",8006964,"","",39555833,-704779,471639,32647,"",48050879,30625,"",4850634,"","",3257804,"","",3947440,"",8012,8012,52006331,127404,387205,-33467,"",14492,"",1221205,"","","","","",1221205,50785126,50785126,52006331,"","",114177,"","",0.35,"","",381991,35702712,36084703,17142174,18942529,8723527,10219002,2996371,13215373,"",13215373,0.185094,157688,428807,4228,20563
